Time,Plasma,upper,lower
0.316616008,1.973504383,2.772407997,1.191764587
0.533181358,3.268027589,4.849693429,2.017260129
1.095744681,2.993577295,3.894719549,2.15443469
1.620567376,2.86512027,3.340484984,2.20220195
2.073961499,2.539580038,3.026581555,1.973504383
3.049138804,2.06198601,2.539580038,1.674208428
4.056990881,1.827699369,2.178187383,1.329871025
6.045845998,1.42030283,1.768556943,0.94665226
8.034954407,1.115883993,1.768556943,0.76862461
12.02026342,0.936329209,1.31536905,0.61727145
18.0775076,0.704075201,0.916019591,0.43460552
24.13829787,0.61727145,0.76862461,0.393765892
