Time ,Plasma_iv20,Plasma_iv20sd,Plasma_iv30,Plasma_iv30sd,Plasma_im20,Plasma_im20sd,Plasma_im30,Plasma_im30sd
0.083333333,38.04,2.9,61.48,2.48,0,0,0,0
0.166666667,24.46,3.52,41.28,1.22,1.23,0.12,3,1.39
0.25,22.17,2.39,35.59,1.32,1.7,0.17,3.07,1.35
0.5,16.47,0.66,25.05,0.55,3.39,0.62,3.87,1.87
1,12.13,0.4,18.69,0.54,4.03,0.54,5.48,2.03
1.5,10.5,0.31,16.71,0.98,4.96,0.93,6.99,2
2.5,7.67,0.45,11.76,0.24,5.38,0.57,7.26,1.05
3.5,4.87,0.23,7.72,0.31,7.98,0.83,7.28,0.57
5.5,2.33,0.1,3.68,0.48,2.97,0.31,6.17,0.17
7.5,1.56,0.24,2.46,0.11,2.59,0.17,5.28,0.35
10.5,0.91,0.02,1.47,0.19,1.75,0.24,4.66,0.19
24,0.44,0.1,0.66,0.08,1.23,0.2,2.63,0.23
